Instagram,Tipo de test,Ret,Latitud,Longitud,Fecha_Hora_Inicio,Fecha_Hora_Fin,Comentario
Instagram,Carga_Feed,WIFI,-17.3762988,-66.1567196,2025-06-04 12:56:59.473,2025-06-04 12:57:00.768,OK
Instagram,Carga_Feed,WIFI,-17.3763269,-66.1567655,2025-06-04 12:59:14.815,2025-06-04 12:59:15.816,OK
Instagram,Carga_Feed,WIFI,-17.3763269,-66.1567655,2025-06-04 13:10:37.285,2025-06-04 13:10:39.745,OK
Instagram,Carga_Feed,WIFI,-17.3763365,-66.1567675,2025-06-04 13:11:12.911,2025-06-04 13:11:13.944,OK
Instagram,Carga_Feed,WIFI,-17.3763365,-66.1567675,2025-06-04 13:14:15.523,2025-06-04 13:14:16.574,OK
Instagram,Carga_Feed,WIFI,-17.3763365,-66.1567675,2025-06-04 13:15:05.772,2025-06-04 13:15:06.809,OK
Instagram,Carga_Feed,WIFI,-17.3763365,-66.1567675,2025-06-04 13:23:31.577,2025-06-04 13:23:33.623,OK
Instagram,Carga_Feed,WIFI,-17.3763368,-66.1567604,2025-06-04 13:23:57.655,2025-06-04 13:24:42.693,Feed no detectado
Instagram,Carga_Feed,WIFI,-17.3763368,-66.1567604,2025-06-04 13:32:17.431,2025-06-04 13:32:18.548,OK
Instagram,Carga_Feed,WIFI,-17.3763399,-66.1567714,2025-06-04 13:34:03.476,2025-06-04 13:34:04.671,OK
Instagram,Carga_Feed,WIFI,-17.3763399,-66.1567714,2025-06-04 13:40:07.157,2025-06-04 13:40:08.004,OK
Instagram,Publicacion,WIFI,-17.3763581,-66.1567808,2025-06-04 13:40:34.463,2025-06-04 13:40:36.745,OK
Instagram,Ms_Texto,WIFI,-17.3763581,-66.1567808,2025-06-04 13:40:52.501,2025-06-04 13:40:58.690,OK
Instagram,Ms_Foto,WIFI,-17.3763581,-66.1567808,2025-06-04 13:41:10.900,2025-06-04 13:41:14.155,OK
Instagram,Ms_Video,WIFI,-17.3763581,-66.1567808,2025-06-04 13:41:20.745,2025-06-04 13:41:43.567,OK
Instagram,Carga_Feed,WIFI,-17.3763581,-66.1567808,2025-06-04 13:42:08.628,2025-06-04 13:42:09.749,OK
Instagram,WIFI,Carga_Feed,-17.3763581,-66.1567808,2025-06-04 14:33:04.762,2025-06-04 14:33:05.975,OK
Instagram,WIFI,Publicacion,-17.3763018,-66.1567009,2025-06-04 14:33:34.127,2025-06-04 14:33:36.292,OK
Instagram,WIFI,Ms_Texto,-17.3763018,-66.1567009,2025-06-04 14:33:52.219,2025-06-04 14:33:58.337,OK
Instagram,WIFI,Ms_Foto,-17.3763018,-66.1567009,2025-06-04 14:34:10.284,2025-06-04 14:34:13.634,OK
Instagram,WIFI,Ms_Video,-17.3763018,-66.1567009,2025-06-04 14:34:22.177,2025-06-04 14:34:44.194,OK
Instagram;WIFI;Carga_Feed;-17.3763018;-66.1567009;2025-06-04 14:40:01.258;2025-06-04 14:40:02.285;OK
Instagram;WIFI;Publicacion;-17.3763442;-66.1567516;2025-06-04 14:40:29.114;2025-06-04 14:40:31.657;OK
Instagram;WIFI;Ms_Texto;-17.3763442;-66.1567516;2025-06-04 14:40:47.217;2025-06-04 14:40:52.690;OK
Instagram;WIFI;Ms_Foto;-17.3763442;-66.1567516;2025-06-04 14:41:05.294;2025-06-04 14:41:08.586;OK
Instagram;WIFI;Ms_Video;-17.3763442;-66.1567516;2025-06-04 14:41:16.978;2025-06-04 14:41:16.987;Fail
Instagram;WIFI;Carga_Feed;-17.3763442;-66.1567516;2025-06-04 14:42:47.160;2025-06-04 14:42:48.268;OK
Instagram;WIFI;Publicacion;-17.3763442;-66.1567516;2025-06-04 14:43:10.405;2025-06-04 14:43:14.264;OK
Instagram;WIFI;Ms_Texto;-17.3763442;-66.1567516;2025-06-04 14:43:22.904;2025-06-04 14:43:29.230;OK
Instagram;WIFI;Ms_Foto;-17.3763442;-66.1567516;2025-06-04 14:43:35.797;2025-06-04 14:43:39.083;OK
Instagram;WIFI;Ms_Video;-17.3763442;-66.1567516;2025-06-04 14:43:47.416;2025-06-04 14:44:11.794;OK
Instagram;MOBILE;Carga_Feed;-17.3763442;-66.1567516;2025-06-04 14:45:17.728;2025-06-04 14:45:26.124;OK
Instagram;MOBILE;Carga_Feed;-17.3763421;-66.1567629;2025-06-05 06:55:05.052;2025-06-05 06:55:06.635;OK
Instagram;MOBILE;Publicacion;-17.3763421;-66.1567629;2025-06-05 06:55:33.578;2025-06-05 06:55:36.482;OK
Instagram;MOBILE;Ms_Texto;-17.3763421;-66.1567629;2025-06-05 06:55:51.650;2025-06-05 06:55:58.275;OK
Instagram;MOBILE;Ms_Foto;-17.3763421;-66.1567629;2025-06-05 06:56:09.725;2025-06-05 06:56:12.829;OK
Instagram;MOBILE;Ms_Video;-17.3763421;-66.1567629;2025-06-05 06:56:21.173;2025-06-05 06:56:43.965;OK
Instagram;MOBILE;Carga_Feed;-17.3763421;-66.1567629;2025-06-05 06:57:10.113;2025-06-05 06:57:11.094;OK
Instagram;MOBILE;Carga_Feed;-17.3762661;-66.1566977;2025-06-05 10:10:58.325;2025-06-05 10:11:00.657;OK
Instagram;MOBILE;Publicacion;-17.3762661;-66.1566977;2025-06-05 10:11:26.707;2025-06-05 10:11:28.786;OK
Instagram;MOBILE;Ms_Texto;-17.3763173;-66.1567392;2025-06-05 10:11:44.807;2025-06-05 10:12:19.109;Fail
Instagram;MOBILE;Ms_Foto;-17.3763173;-66.1567392;2025-06-05 10:12:25.400;2025-06-05 10:13:28.467;Fail
Instagram;MOBILE;Ms_Video;-17.3763173;-66.1567392;2025-06-05 10:13:36.688;2025-06-05 10:14:41.896;Fail
Instagram;SIN_RED;Carga_Feed;-17.3763173;-66.1567392;2025-06-05 10:15:01.627;2025-06-05 10:15:02.195;OK
Instagram;SIN_RED;Publicacion;-17.3763173;-66.1567392;2025-06-05 10:15:19.936;2025-06-05 10:15:26.532;OK
Instagram;SIN_RED;Ms_Texto;-17.3763173;-66.1567392;2025-06-05 10:15:38.154;2025-06-05 10:16:12.632;Fail
Instagram;SIN_RED;Ms_Foto;-17.3763173;-66.1567392;2025-06-05 10:16:18.919;2025-06-05 10:17:21.987;Fail
Instagram;SIN_RED;Ms_Video;-17.3763173;-66.1567392;2025-06-05 10:17:30.123;2025-06-05 10:18:35.659;Fail
Instagram;SIN_RED;Carga_Feed;-17.376246;-66.1566709;2025-06-05 12:54:49.382;2025-06-05 12:54:50.331;OK
