App,Red,Tipo de test,Latitud,Longitud,Fecha_Hora_Inicio,Fecha_Hora_Fin,Estado,Causa de falla,Tamaño archivo
Instagram,WIFI,Carga_Feed,-17.3762648,-66.1567479,2025-06-23 11:45:47.640,2025-06-23 11:45:48.775,OK,,
Instagram,WIFI,Publicacion,-17.376211,-66.1567229,2025-06-23 11:46:05.712,2025-06-23 11:46:11.182,OK,,Desconocido
Instagram,WIFI,Re_Video,-17.376211,-66.1567229,2025-06-23 11:46:32.886,2025-06-23 11:46:48.855,OK,,0.0MB
Instagram,WIFI,Ms_Texto,-17.376211,-66.1567229,2025-06-23 11:46:57.725,2025-06-23 11:47:00.199,OK,,15C
Instagram,WIFI,Ms_Foto,-17.376211,-66.1567229,2025-06-23 11:47:07.250,2025-06-23 11:47:12.601,OK,,Desconocido
Instagram,WIFI,Ms_Video,-17.376211,-66.1567229,2025-06-23 11:47:19.156,2025-06-23 11:47:48.608,OK,,Desconocido
Instagram,WIFI,Carga_Feed,-17.376211,-66.1567229,2025-06-23 11:48:12.093,2025-06-23 11:48:13.272,OK,,
Instagram,WIFI,Publicacion,-17.376211,-66.1567229,2025-06-23 11:48:30.152,2025-06-23 11:48:34.368,OK,,Desconocido
Instagram,MOBILE,Carga_Feed,-17.3761957,-66.1568886,2025-06-23 13:36:23.098,2025-06-23 13:36:24.508,OK,,
Instagram,MOBILE,Publicacion,-17.3761957,-66.1568886,2025-06-23 13:36:42.567,2025-06-23 13:36:45.966,OK,,Desconocido
Instagram,MOBILE,Re_Video,-17.3761957,-66.1568886,2025-06-23 13:36:51.681,2025-06-23 13:37:08.553,OK,,0.0MB
Instagram,MOBILE,Ms_Texto,-17.3761957,-66.1568886,2025-06-23 13:37:27.973,2025-06-23 13:37:30.748,OK,,15C
Instagram,MOBILE,Ms_Foto,-17.3761957,-66.1568886,2025-06-23 13:37:37.717,2025-06-23 13:37:40.488,OK,,Desconocido
Instagram,MOBILE,Ms_Video,-17.3761957,-66.1568886,2025-06-23 13:37:47.326,2025-06-23 13:38:10.958,OK,,Desconocido
Instagram,MOBILE,Carga_Feed,-17.3761957,-66.1568886,2025-06-23 13:38:32.537,2025-06-23 13:38:33.717,OK,,
Instagram,MOBILE,Publicacion,-17.3761957,-66.1568886,2025-06-23 13:38:50.744,2025-06-23 13:39:00.997,OK,,Desconocido
Instagram,MOBILE,Re_Video,-17.3761957,-66.1568886,2025-06-23 13:39:09.743,2025-06-23 13:39:26.318,OK,,0.0MB
Instagram,MOBILE,Carga_Feed,-17.3761957,-66.1568886,2025-06-23 13:40:07.151,2025-06-23 13:40:08.382,OK,,
Instagram,MOBILE,Carga_Feed,-17.3723084,-66.1639404,2025-06-23 13:47:31.691,2025-06-23 13:47:32.846,OK,,
Instagram,MOBILE,Publicacion,-17.3723084,-66.1639404,2025-06-23 13:47:50.456,2025-06-23 13:47:58.620,OK,,Desconocido
Instagram,MOBILE,Re_Video,-17.3723084,-66.1639404,2025-06-23 13:48:18.668,2025-06-23 13:48:34.779,OK,,0.0MB
Instagram,MOBILE,Ms_Texto,-17.3723084,-66.1639404,2025-06-23 13:48:44.552,2025-06-23 13:48:46.957,OK,,15C
Instagram,MOBILE,Ms_Foto,-17.3723084,-66.1639404,2025-06-23 13:48:53.888,2025-06-23 13:48:56.723,OK,,Desconocido
Instagram,MOBILE,Ms_Video,-17.3723084,-66.1639404,2025-06-23 13:49:03.349,2025-06-23 13:49:33.344,OK,,Desconocido
Instagram,MOBILE,Carga_Feed,-17.3693742,-66.1648729,2025-06-23 13:49:47.493,2025-06-23 13:49:51.630,OK,,
